sample_idx,curve_mse,curve_r2,mse_region1,mse_region2,jsc_true,voc_true,vmpp_true,jmpp_true,jsc_pred,voc_pred,vmpp_pred,jmpp_pred,ff_true,ff_pred,ff_abs_err,pce_true,pmpp_true,jsc_ratio,voc_ratio,high_error,low_pce,bad_curve
1,8663.10546875,0.637590765953064,4333.5673828125,12451.4501953125,347.0018005371094,1.225000023841858,0.625,325.0232849121094,346.787109375,1.2806313037872314,0.800000011920929,289.6701965332031,0.4778886139392853,0.5218032002449036,0.0439145863056182,0.2031395733356475,203.1395568847656,0.9980556964874268,2.500444173812866,True,False,True
6,75.7044906616211,0.9556348919868468,276.15966796875,44.86522674560547,143.74099731445312,0.875,0.5,74.98966217041016,149.1221466064453,0.8468005657196045,0.4250000119209289,98.37677764892578,0.2981142103672027,0.331099271774292,0.0329850614070892,0.0374948345124721,37.49483108520508,0.9494900703430176,1.6467528343200684,False,True,True
8,705.6686401367188,0.8052006959915161,1219.4052734375,641.4515380859375,187.03219604492188,0.7250000238418579,0.449999988079071,124.668701171875,161.03097534179688,0.6479877233505249,0.4000000059604645,94.74281311035156,0.4137286245822906,0.3631868064403534,0.0505418181419372,0.0561009161174297,56.10091400146485,0.9047293066978456,1.070888876914978,False,True,True
9,13343.908203125,-0.4183247089385986,22717.021484375,7095.16650390625,331.4775085449219,1.0750000476837158,0.4000000059604645,222.82080078125,330.15484619140625,1.1323797702789309,0.7250000238418579,271.7974853515625,0.2501227259635925,0.5270765423774719,0.2769538164138794,0.0891283228993415,89.1283187866211,0.9951470494270324,1.8451991081237795,True,False,True
11,98.75728607177734,0.9783230423927308,67.18553924560547,102.70375061035156,227.6961975097656,1.0499999523162842,0.4250000119209289,138.347900390625,225.28294372558597,1.1235343217849731,0.4000000059604645,138.7984161376953,0.2459328025579452,0.2193460762500763,0.0265867263078689,0.058797862380743,58.79785919189453,0.9936533570289612,4.628287315368652,False,True,True
13,14286.4833984375,0.2232479453086853,261.3373718261719,22801.751953125,317.0104064941406,1.149999976158142,1.0,308.3158874511719,317.4391174316406,1.0598560571670532,0.699999988079071,279.1227722167969,0.8457160592079163,0.5807456970214844,0.2649703621864319,0.3083159029483795,308.3158874511719,0.9999175071716307,1.470284104347229,True,False,True
14,25.758569717407227,0.9905412197113036,18.818622589111328,28.003847122192383,127.99610137939452,0.8500000238418579,0.550000011920929,105.32730102539062,127.3225326538086,0.9275354743003844,0.550000011920929,100.18871307373048,0.5324611663818359,0.4666010439395904,0.0658601224422454,0.0579300187528133,57.93001556396485,0.9986842274665833,1.8075634241104128,False,True,True
22,12520.8388671875,0.267354667186737,1893.68017578125,13557.6337890625,303.91119384765625,0.675000011920929,0.574999988079071,260.44830322265625,304.8636474609375,0.5474872589111328,0.3000000119209289,223.8059234619141,0.73002690076828,0.4022658467292785,0.3277610540390014,0.1497577726840973,149.7577667236328,0.999282956123352,1.477700114250183,True,False,True
33,22265.91796875,-0.2769856452941894,1197.57568359375,29082.146484375,302.565185546875,1.149999976158142,0.975000023841858,291.6180114746094,303.7210998535156,0.9476796984672546,0.550000011920929,237.41476440429688,0.8171507716178894,0.453663557767868,0.3634872138500213,0.2843275964260101,284.3275756835937,0.999588429927826,1.7491514682769775,True,False,True
34,1511.41357421875,0.5849449634552002,3460.822998046875,1267.7373046875,252.6363983154297,0.7250000238418579,0.3000000119209289,138.16639709472656,251.215576171875,0.7810940742492676,0.4000000059604645,184.58360290527344,0.2263027131557464,0.3762731552124023,0.1499704420566558,0.0414499230682849,41.44992065429688,0.9607606530189514,2.3194832801818848,False,True,True
