sample_idx,curve_mse,curve_r2,mse_region1,mse_region2,jsc_true,voc_true,vmpp_true,jmpp_true,jsc_pred,voc_pred,vmpp_pred,jmpp_pred,ff_true,ff_pred,ff_abs_err,pce_true,pmpp_true,jsc_ratio,voc_ratio,high_error,low_pce,bad_curve
14920,10737.251953125,0.1461228728294372,17689.83203125,7912.76513671875,353.38720703125,0.675000011920929,0.4000000059604645,250.9326934814453,354.2714538574219,0.8951262831687927,0.6000000238418579,298.2770080566406,0.4207873344421386,0.5643526911735535,0.1435653567314148,0.1003730818629264,100.37307739257812,0.9980860948562622,0.9131404161453248,True,False,True
14924,9879.482421875,-1.954038381576538,1088.740966796875,11498.830078125,154.71339416503906,1.3250000476837158,1.0750000476837158,150.50230407714844,155.22227478027344,1.0947871208190918,0.449999988079071,101.54383087158205,0.7892376780509949,0.2688947319984436,0.5203429460525513,0.161789983510971,161.78997802734375,0.9992915987968444,3.822108745574951,True,False,True
14955,11463.5576171875,0.3449435830116272,2254.0439453125,13160.0458984375,276.38330078125,0.8500000238418579,0.7250000238418579,261.1282043457031,274.5273132324219,0.765877902507782,0.449999988079071,197.5765838623047,0.8058626651763916,0.4228661060333252,0.3829965591430664,0.1893179565668106,189.3179473876953,1.0006225109100342,1.8537888526916504,True,False,True
14969,7437.16748046875,0.6025192141532898,1312.932861328125,9186.94921875,332.1062927246094,1.024999976158142,0.699999988079071,273.3789978027344,327.1069641113281,0.9050194025039672,0.5249999761581421,245.78028869628903,0.5621629357337952,0.4358717203140259,0.1262912154197693,0.1913653016090393,191.36529541015625,0.9996487498283386,3.149310350418091,True,False,True
14972,8476.8291015625,0.4703533053398132,764.6963500976562,9663.3115234375,282.2251892089844,0.875,0.625,255.8155975341797,283.1436462402344,0.701074481010437,0.4250000119209289,229.1478729248047,0.6474454998970032,0.4906070530414581,0.156838446855545,0.1598847508430481,159.88475036621094,1.0004099607467651,1.3312758207321167,True,False,True
14989,18416.1875,0.3011950254440307,686.458984375,23481.822265625,347.7008972167969,1.0,0.824999988079071,317.0036926269531,349.0275573730469,0.8544453382492065,0.5249999761581421,291.6446533203125,0.752163827419281,0.5134158730506897,0.2387479543685913,0.2615280449390411,261.5280456542969,0.9988502860069276,2.626871109008789,True,False,True
15001,12855.357421875,0.4833036661148071,478.5138549804688,20369.869140625,353.8735046386719,1.125,0.949999988079071,342.7206115722656,348.573974609375,1.057545781135559,0.699999988079071,307.56085205078125,0.8178303837776184,0.5840297341346741,0.2338006496429443,0.3255845904350281,325.5845642089844,0.9998051524162292,1.8307963609695437,True,False,True
15031,7296.96142578125,0.3865996599197387,2405.90478515625,7908.34375,243.99110412597656,0.824999988079071,0.6000000238418579,223.1011962890625,245.03208923339844,0.7432078719139099,0.4000000059604645,151.77267456054688,0.6650054454803467,0.333365261554718,0.3316401839256286,0.1338607221841812,133.8607177734375,1.0000605583190918,1.8768730163574217,True,False,True
15032,9126.0185546875,-0.3328045606613159,11397.7880859375,7611.50439453125,278.90350341796875,1.149999976158142,0.5249999761581421,155.80679321289062,274.1965637207031,1.2338062524795532,0.7250000238418579,232.76803588867188,0.2550315260887146,0.4988298416137695,0.2437983155250549,0.081798568367958,81.7985610961914,0.9202889800071716,2.961722612380981,True,False,True
15041,20904.859375,-0.7605705261230469,378.1315002441406,34589.34375,347.5932922363281,1.350000023841858,1.0750000476837158,302.5437927246094,349.2030639648437,1.124117374420166,0.7250000238418579,293.8681030273437,0.6930930614471436,0.5427511930465698,0.1503418684005737,0.325234591960907,325.2345886230469,1.0002447366714478,2.33418607711792,True,False,True
15043,12199.5546875,0.4610986709594726,3371.017333984375,13557.7919921875,321.22918701171875,1.0,0.675000011920929,308.533203125,314.6936950683594,0.8750715255737305,0.4250000119209289,224.46823120117188,0.6483219265937805,0.3464274108409881,0.3018945157527923,0.2082599252462387,208.25991821289065,0.9999315142631532,3.1150972843170166,True,False,True
15055,15295.3916015625,0.3742890954017639,97.4751968383789,20212.36328125,321.9429016113281,0.949999988079071,0.824999988079071,314.4914855957031,323.99432373046875,0.8162856101989746,0.550000011920929,300.5614013671875,0.8483213186264038,0.6250523328781128,0.223268985748291,0.2594555020332336,259.4554748535156,1.0000251531600952,1.711485743522644,True,False,True
15057,24849.5625,-0.2519904375076294,3082.02978515625,27570.5,289.909912109375,0.8999999761581421,0.800000011920929,276.851806640625,289.4269104003906,0.6538246870040894,0.4000000059604645,183.30123901367188,0.8488516211509705,0.387458473443985,0.4613931477069855,0.2214814573526382,221.4814453125,1.0004338026046753,1.808762788772583,True,False,True
15064,9906.9228515625,-0.424074649810791,13844.48828125,7281.87841796875,265.09130859375,1.225000023841858,0.4000000059604645,218.81979370117188,266.2351989746094,1.232763648033142,0.7250000238418579,230.8010406494141,0.2695349156856537,0.5098360180854797,0.240301102399826,0.0875279232859611,87.52791595458984,0.9969725608825684,2.6714978218078613,True,False,True
15082,8515.875,-0.4510350227355957,18184.658203125,5387.73876953125,280.87469482421875,0.8999999761581421,0.4000000059604645,160.96510314941406,326.35693359375,0.9241772294044496,0.550000011920929,252.72833251953125,0.2547045052051544,0.460859477519989,0.2061549723148346,0.0643860399723053,64.38603973388672,0.8026891946792603,1.903993844985962,True,False,True
15095,9963.857421875,0.6281760334968567,239.16917419433597,13914.51171875,345.2290954589844,0.949999988079071,0.800000011920929,320.00469970703125,347.7695007324219,0.8943144083023071,0.6000000238418579,309.3010559082031,0.780576229095459,0.5966929793357849,0.183883249759674,0.2560037672519684,256.0037536621094,0.9995052218437196,1.963592529296875,True,False,True
15110,15104.775390625,0.3449429273605346,1523.3486328125,16802.453125,319.5863037109375,0.800000011920929,0.675000011920929,307.4867858886719,320.91802978515625,0.7000831961631775,0.4000000059604645,241.56455993652344,0.8118056654930115,0.4300801753997803,0.3817254900932312,0.2075535953044891,207.5535888671875,1.0003482103347778,1.3738877773284912,True,False,True
15123,7755.71630859375,0.4890136122703552,2714.03759765625,8385.92578125,288.3594055175781,0.949999988079071,0.6000000238418579,245.96609497070312,287.6680603027344,0.8553522825241089,0.4000000059604645,187.1270904541016,0.5387270450592041,0.3042005598545074,0.2345264852046966,0.1475796699523925,147.5796661376953,1.000063419342041,2.5583858489990234,True,False,True
