step,hp_metric,lr-AdamW,val_mse,val_mono,val_convex,val_excurv,val_loss,epoch,train_mse,train_mono,train_convex,train_excurv,train_loss,test_loss,test/stats/mae_mean,test/stats/mae_std,test/stats/mae_median,test/stats/rmse_mean,test/stats/rmse_std,test/stats/rmse_median,test/stats/r2_mean,test/stats/r2_std,test/stats/r2_median,test/stats/isc_error_abs_mean,test/stats/isc_error_abs_median,test/stats/voc_error_abs_mean,test/stats/voc_error_abs_median,test/stats/voc_prediction_rate
1724,,0.0013783704489469528,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,,0.0014093901263549924,,,,,,,,,,,,,,,,,,,,,,,,,,
1774,,0.0014407014241442084,,,,,,,,,,,,,,,,,,,,,,,,,,
1799,,0.0014722979394719005,,,,,,,,,,,,,,,,,,,,,,,,,,
1824,,0.0015041736187413335,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,,0.0015363221755251288,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,,0.0015687369741499424,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,,0.0016014119610190392,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,,0.0016343403840437531,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,,0.0016675159567967057,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,,0.001700931927189231,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,0.0017345817759633064,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,,0.00176845898386091,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,,0.0018025565659627318,,,,,,,,,,,,,,,,,,,,,,,,,,
2074,,0.0018368680030107498,,,,,,,,,,,,,,,,,,,,,,,,,,
2099,,0.001871386426500976,,,,,,,,,,,,,,,,,,,,,,,,,,
2124,,0.0019061049679294229,,,,,,,,,,,,,,,,,,,,,,,,,,
2149,,0.0019410168752074242,,,,,,,,,,,,,,,,,,,,,,,,,,
2174,,0.0019761151634156704,,,,,,,,,,,,,,,,,,,,,,,,,,
2199,,0.0020113929640501738,,,,,,,,,,,,,,,,,,,,,,,,,,
2224,,0.0020468432921916246,,,,,,,,,,,,,,,,,,,,,,,,,,
2249,,0.0020824589300900698,,,,,,,,,,,,,,,,,,,,,,,,,,
2274,,0.002118233125656843,,,,,,,,,,,,,,,,,,,,,,,,,,
2299,,0.0021541586611419916,,,,,,,,,,,,,,,,,,,,,,,,,,
2324,,0.002190228318795562,,,,,,,,,,,,,,,,,,,,,,,,,,
2349,,0.0022264353465288877,,,,,,,,,,,,,,,,,,,,,,,,,,
2374,,0.002262772060930729,,,,,,,,,,,,,,,,,,,,,,,,,,
2393,,,0.025278113782405853,3.412701698835008e-05,0.06397984176874161,0.0009502997272647917,0.025102131068706512,2.0,0.039280492812395096,0.0038180805277079344,0.08948440104722977,0.006838726811110973,0.03902977332472801,,,,,,,,,,,,,,,
2399,,0.0022992317099124193,,,,,,,,,,,,,,,,,,,,,,,,,,
2424,,0.002335806842893362,,,,,,,,,,,,,,,,,,,,,,,,,,
