mae_mean,mae_std,mae_median,rmse_mean,rmse_std,rmse_median,r2_mean,r2_std,r2_median,isc_error_abs_mean,isc_error_abs_median,voc_error_abs_mean,voc_error_abs_median,voc_prediction_rate,run_name,architecture,use_attention,use_dilated_conv,train_time_s,test_time_s,total_time_s,train_steps,max_epochs,batch_size,exp_id,seed,run_file
5.2038704576617585,5.149296842346566,3.651595357339829,7.216580605321249,6.877426344697168,5.134201476915097,0.9864485856522106,0.03654808180034274,0.9964793950985773,0.645449885554809,0.0,0.013127864170167149,0.0007001715382224383,0.7266673326008057,T0-1-Conv-Dilated_seed123,conv,False,True,1287.536247594282,11.349773184396327,1316.7933695465326,39102,100,128,T0-1-Conv-Dilated,123,/scratch/memoozd/ts-tools-scratch/dbe/scalar_predictors/outputs/tcn_icml_20260207/results/T0-1-Conv-Dilated_seed123_stats.json
5.975651282800278,5.1911872004840545,4.410789209417999,7.9355224157269335,7.097438126944996,5.705483824254488,0.9815911600280915,0.4098978122626341,0.9957424978684521,0.7585113720870932,0.0,0.007064322738233875,0.0012468152490272,0.10848789584096434,T0-1-Conv-Dilated_seed42,conv,False,True,1258.089001414366,11.136771102435887,1285.9749574679881,37506,100,128,T0-1-Conv-Dilated,42,/scratch/memoozd/ts-tools-scratch/dbe/scalar_predictors/outputs/tcn_icml_20260207/results/T0-1-Conv-Dilated_seed42_stats.json
5.058804093368745,5.677150188637073,3.1578604988753796,7.247848792334614,7.656776546939174,4.683970042103834,0.9838876130166345,0.04852593600434059,0.9971107242698765,0.26954635446793257,0.0,0.012864609472226493,0.001186595551336711,0.8456646244006393,T0-1-Conv-Dilated_seed456,conv,False,True,1529.663632617332,11.085331700742245,1559.7787843747064,46284,100,128,T0-1-Conv-Dilated,456,/scratch/memoozd/ts-tools-scratch/dbe/scalar_predictors/outputs/tcn_icml_20260207/results/T0-1-Conv-Dilated_seed456_stats.json
4.487808715862331,5.534166209561544,2.618080929561984,6.435572615016669,7.345679278705076,3.9694099898917217,0.9867270142448004,0.0402987546357173,0.9978609585129394,0.11594289213292024,0.0,0.003790168894407985,0.0003793803996687828,0.6145573202810242,T0-10-BS512_seed123,conv,False,True,630.4843864329159,10.405198418535292,658.2372163720429,19900,100,512,T0-10-BS512,123,/scratch/memoozd/ts-tools-scratch/dbe/scalar_predictors/outputs/tcn_icml_20260207/results/T0-10-BS512_seed123_stats.json
4.740927766185135,5.374622332244294,2.960510821751086,6.596334598508528,7.165658365955391,4.201405216481515,0.9849035566667201,0.35384688123711844,0.9976243262462754,0.4832772321807676,0.0,0.0009252311195832864,0.00023413460327698088,0.14638207185907895,T0-10-BS512_seed42,conv,False,True,609.3318459084257,10.71429241169244,636.0529475864023,19303,100,512,T0-10-BS512,42,/scratch/memoozd/ts-tools-scratch/dbe/scalar_predictors/outputs/tcn_icml_20260207/results/T0-10-BS512_seed42_stats.json
5.009969166011894,5.292228119427986,3.3074202269290254,6.950273175962759,7.101990794803057,4.6341611629382875,0.9858565865867983,0.043731867926258626,0.9970827165862977,1.159981568361168,1.0758543014526367,0.012155658233907522,0.0005613250980840978,0.19259456579648376,T0-10-BS512_seed456,conv,False,True,466.50727977603674,10.292142139747739,494.7727872254327,14328,100,512,T0-10-BS512,456,/scratch/memoozd/ts-tools-scratch/dbe/scalar_predictors/outputs/tcn_icml_20260207/results/T0-10-BS512_seed456_stats.json
5.149815393118668,5.761706072984438,3.250987702031125,7.344932127566392,7.755682812780175,4.7400081889839,0.9837400760616477,0.045942847550515406,0.9970130548595773,0.36118939525672034,0.0,0.006548023526851538,0.0010234575885139652,0.8245263543435554,T0-2-Conv-NoDilation_seed123,conv,False,False,1660.5534376818687,11.11322636436671,1691.108984645456,50274,100,128,T0-2-Conv-NoDilation,123,/scratch/memoozd/ts-tools-scratch/dbe/scalar_predictors/outputs/tcn_icml_20260207/results/T0-2-Conv-NoDilation_seed123_stats.json
5.589593816423865,5.30201901128409,3.9700115320342775,7.551651925216826,7.097107506724566,5.349616500837822,0.9827343392573916,0.39335292875664607,0.9962468070985218,0.8725456323895618,0.7355410158634186,0.02681626838138674,0.0004997392605140261,0.09556791315640505,T0-2-Conv-NoDilation_seed42,conv,False,False,1205.1615368798375,11.267398020252585,1233.6941478196532,35910,100,128,T0-2-Conv-NoDilation,42,/scratch/memoozd/ts-tools-scratch/dbe/scalar_predictors/outputs/tcn_icml_20260207/results/T0-2-Conv-NoDilation_seed42_stats.json
5.323173816335394,5.440291869445425,3.5681277979165316,7.379593957549374,7.413203398714425,4.905264861356198,0.9839446154965267,0.047722604829421526,0.9968542133995835,1.3763239171237456,1.246698021888733,0.0037412012213871066,0.00026914785709875044,0.27547282898241876,T0-2-Conv-NoDilation_seed456,conv,False,False,1381.9419910395518,11.056526416912675,1411.5557769434527,41496,100,128,T0-2-Conv-NoDilation,456,/scratch/memoozd/ts-tools-scratch/dbe/scalar_predictors/outputs/tcn_icml_20260207/results/T0-2-Conv-NoDilation_seed456_stats.json
4.958095285675888,5.8174412688188415,3.0297091170214117,7.156231542392721,7.844322477535642,4.538275645331254,0.9839965339444169,0.04705263648132218,0.997263625022428,0.25933508767945845,0.0,0.003635868045458885,0.00028963642070839457,0.3956314720474145,T0-3-TCN-Dilated_seed123,tcn,False,True,2539.199084101245,11.535448177717626,2567.6221934333444,73416,100,128,T0-3-TCN-Dilated,123,/scratch/memoozd/ts-tools-scratch/dbe/scalar_predictors/outputs/tcn_icml_20260207/results/T0-3-TCN-Dilated_seed123_stats.json
